Date,Close
1/1/21,29259
1/2/21,31690
1/3/21,33581
1/4/21,31027
1/5/21,33788
1/6/21,35848
1/7/21,39596
1/8/21,39927
1/9/21,40769
1/10/21,37984
1/11/21,34184
1/12/21,34766
1/13/21,37248
1/14/21,38863
1/15/21,36324
1/16/21,35785
1/17/21,36530
1/18/21,36255
1/19/21,36494
1/20/21,34892
1/21/21,31275
1/22/21,33375
1/23/21,32340
1/24/21,31934
1/25/21,32643
1/26/21,31993
1/27/21,31030
1/28/21,33274
1/29/21,34715
1/30/21,34649
1/31/21,32626
2/1/21,33667
2/2/21,35686
2/3/21,37284
2/4/21,37712
2/5/21,37853
2/6/21,40103
2/7/21,38610
2/8/21,44797
2/9/21,47357
2/10/21,45039
2/11/21,46943
2/12/21,47853
2/13/21,47210
2/14/21,48921
2/15/21,48183
2/16/21,48642
2/17/21,52333
2/18/21,52059
2/19/21,55493
2/20/21,56501
2/21/21,57332
2/22/21,54919
2/23/21,48016
2/24/21,48720
2/25/21,48199
2/26/21,45621
2/27/21,46844
2/28/21,45255
3/1/21,48844
3/2/21,47477
3/3/21,50952
3/4/21,47924
3/5/21,49138
3/6/21,48583
3/7/21,50104
3/8/21,51896
3/9/21,54313
3/10/21,56932
3/11/21,57721
3/12/21,56981
3/13/21,61002
3/14/21,60173
3/15/21,56398
3/16/21,56379
3/17/21,57834
3/18/21,57533
3/19/21,58426
3/20/21,58466
3/21/21,57792
3/22/21,54610
3/23/21,54346
3/24/21,54175
3/25/21,51989
3/26/21,54014
3/27/21,55916
3/28/21,54863
3/29/21,57176
3/30/21,58671
3/31/21,58932
4/1/21,58855
4/2/21,58655
4/3/21,58063
4/4/21,58030
4/5/21,58810
4/6/21,58244
4/7/21,56157
4/8/21,57681
4/9/21,58354
4/10/21,58621
4/11/21,59607
4/12/21,60011
4/13/21,63196
4/14/21,62357
4/15/21,63381
4/16/21,61962
4/17/21,60843
4/18/21,56239
4/19/21,56175
4/20/21,56852
4/21/21,55029
4/22/21,51843
4/23/21,50620
4/24/21,50955
4/25/21,48075
4/26/21,53297
4/27/21,55067
4/28/21,54456
4/29/21,53006
4/30/21,56803
5/1/21,57700
5/2/21,57016
5/3/21,56826
5/4/21,54842
5/5/21,56854
5/6/21,55987
5/7/21,57699
5/8/21,59014
5/9/21,57982
5/10/21,55328
5/11/21,56942
5/12/21,54540
5/13/21,49253
5/14/21,49351
5/15/21,48255
5/16/21,44062
5/17/21,44843
5/18/21,43318
5/19/21,38390
5/20/21,40108
5/21/21,35263
5/22/21,38086
5/23/21,33791
5/24/21,38999
5/25/21,37656
5/26/21,38731
5/27/21,38476
5/28/21,35245
5/29/21,34266
5/30/21,36115
5/31/21,36677
6/1/21,36330
6/2/21,37739
6/3/21,38693
6/4/21,37071
6/5/21,35826
6/6/21,35897
6/7/21,34471
6/8/21,33638
6/9/21,36406
6/10/21,36410
6/11/21,37331
6/12/21,36041
6/13/21,38830
6/14/21,39809
6/15/21,39949
6/16/21,38550
6/17/21,37752
6/18/21,35493
6/19/21,36193
6/20/21,35853
6/21/21,32622
6/22/21,32895
6/23/21,33066
6/24/21,34857
6/25/21,32212
6/26/21,31329
6/27/21,32648
6/28/21,34721
6/29/21,36156
6/30/21,34585
7/1/21,33411
7/2/21,33124
7/3/21,34715
7/4/21,35542
7/5/21,33847
7/6/21,33941
7/7/21,34550
7/8/21,32788
7/9/21,33508
7/10/21,42495
7/11/21,44059
7/12/21,47500
7/13/21,47437
7/14/21,48150
7/15/21,50880
7/16/21,50371
7/17/21,51364
7/18/21,54572
7/19/21,53454
7/20/21,56608
7/21/21,54770
7/22/21,57566
7/23/21,54176
7/24/21,55050
7/25/21,54350
7/26/21,54516
7/27/21,56619
7/28/21,57257
7/29/21,56053
7/30/21,55687
7/31/21,55913
8/1/21,54996
8/2/21,54375
8/3/21,55431
8/4/21,56241
8/5/21,56195
8/6/21,57123
8/7/21,57666
8/8/21,55864
8/9/21,55861
8/10/21,55261
8/11/21,56101
8/12/21,54286
8/13/21,53648
8/14/21,53557
8/15/21,54468
8/16/21,54987
8/17/21,56458
8/18/21,56002
8/19/21,56224
8/20/21,58327
8/21/21,58149
8/22/21,58038
8/23/21,56872
8/24/21,58594
8/25/21,59169
8/26/21,58310
8/27/21,56960
8/28/21,56026
8/29/21,57049
8/30/21,57813
8/31/21,58000
9/1/21,56964
9/2/21,56426
9/3/21,57529
9/4/21,57468
9/5/21,57072
9/6/21,58219
9/7/21,57750
